project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	58094571-ff87-4d5f-86e0-5da36550a9ab	TCGA-B7-A5TK-01A-12D	0b0fce34-6366-439f-afd6-5282ff5cb589	TCGA-B7-A5TK-01A-01D-YYYY-23	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	58094571-ff87-4d5f-86e0-5da36550a9ab	TCGA-B7-A5TK-01A-12D	7d663b85-1753-4cd3-9427-53918e74e5e2	TCGA-B7-A5TK-01A-12D-A31K-01	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	764ac945-088f-4d99-b449-dd0869bc4fce	TCGA-B7-A5TK-01A-12R	90a54c29-9eee-4a61-8925-981434839b04	TCGA-B7-A5TK-01A-12R-A360-13	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	764ac945-088f-4d99-b449-dd0869bc4fce	TCGA-B7-A5TK-01A-12R	35edd352-2384-489e-a4c9-78400a131852	TCGA-B7-A5TK-01A-12R-A31Q-13	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	764ac945-088f-4d99-b449-dd0869bc4fce	TCGA-B7-A5TK-01A-12R	68c2180e-9f19-4233-ae52-80c172897744	TCGA-B7-A5TK-01A-12R-A36D-31	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	764ac945-088f-4d99-b449-dd0869bc4fce	TCGA-B7-A5TK-01A-12R	c1999b44-616f-42aa-b579-e0ea1f0e67b4	TCGA-B7-A5TK-01A-12R-A31P-31	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	c341e822-6215-480e-b11c-827d4560062f	TCGA-B7-A5TK-10A	94977b65-716d-4e5f-955b-59614ee2b762	TCGA-B7-A5TK-10A-01	ac073d43-f342-4892-9048-695b09ec433f	TCGA-B7-A5TK-10A-01W	57e6be92-1822-4757-982a-3cfae7c7d530	TCGA-B7-A5TK-10A-01W-A332-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	c341e822-6215-480e-b11c-827d4560062f	TCGA-B7-A5TK-10A	94977b65-716d-4e5f-955b-59614ee2b762	TCGA-B7-A5TK-10A-01	0e34a105-9ae8-4544-8cfc-2d6037c7d790	TCGA-B7-A5TK-10A-01D	5c1335ac-3d08-4000-bcfc-a3576e72d01c	TCGA-B7-A5TK-10A-01D-A31J-08	'--	'--	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	c341e822-6215-480e-b11c-827d4560062f	TCGA-B7-A5TK-10A	94977b65-716d-4e5f-955b-59614ee2b762	TCGA-B7-A5TK-10A-01	0e34a105-9ae8-4544-8cfc-2d6037c7d790	TCGA-B7-A5TK-10A-01D	79c000d9-d997-404a-badb-c93b3a2f6fb4	TCGA-B7-A5TK-10A-01D-A31I-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	632f51b3-8ef4-4b6e-a992-c81e554507ed	TCGA-BR-8364	ca4c1644-3eb0-4d7a-b163-cf50b59f100c	TCGA-BR-8364-10A	0a3d820d-c233-47d1-86b2-e38d9cd2b91c	TCGA-BR-8364-10A-01	4e661c13-bca1-4772-b73c-1685c86208c1	TCGA-BR-8364-10A-01D	a48dc850-ad6d-4715-bf12-610020a4f411	TCGA-BR-8364-10A-01D-2341-08	'--	'--	'--	'--	'--	0.05	'--	'--	'--	'--	'--	'--	'--	'--	22	released
